Feature,Importance_Mean,Importance_Std
AvgDaysBetweenOrders,0.055947384527947154,0.006905610510797536
Recency,0.05046281116187338,0.006754360344737081
RecencyRatio,0.020857348265702905,0.003507511188021113
UniqueProducts,0.010462677576914554,0.003618554371434041
TotalQuantity,0.008566681968216456,0.0032324977282502825
Monetary,0.004221527580436316,0.002431361125283094
AvgOrderValue,0.003899102066194967,0.002344560380522032
Tenure,0.0029405692662299423,0.0020747991630721313
Frequency,0.0013006317354143037,0.001071152271897483
AvgBasketSize,0.001201839586323794,0.0018745739583392773
